Interval Start,Internal CO2 (tonnes),Exported CO2 (tonnes),Imported CO2 (tonnes),Load,VRE,Total_CO2_Emissions,delta_Load,delta_VRE,delta_Total_CO2_Emissions
2025-11-15 13:00:00+00:00,3110.4652094999997,767.5510848,69.474948855,4714.0,2309.0,2412.389073555,140.0,-13.0,29.80193443500002
2025-11-15 14:00:00+00:00,3156.4594890000003,683.1738079500001,55.786434390000004,4983.0,2487.0,2529.0721154400003,269.0,178.0,116.68304188500042
2025-11-15 15:00:00+00:00,2802.6573390000003,722.7724332,103.703038905,5085.0,3191.0,2183.587944705,102.0,704.0,-345.48417073500013
2025-11-15 16:00:00+00:00,2535.86511672,645.16638519,55.23849465,5250.0,4005.0,1945.93722618,165.0,814.0,-237.65071852500023
2025-11-15 17:00:00+00:00,2259.28073955,546.2541902700001,58.634088105,5363.0,4448.0,1771.660637385,113.0,443.0,-174.27658879499995
2025-11-15 18:00:00+00:00,2384.30897625,654.88052217,0.0,5485.0,4960.0,1729.42845408,122.0,512.0,-42.232183305000035
2025-11-15 19:00:00+00:00,2639.6361945,695.9741882999999,0.0,5295.0,4500.0,1943.6620062,-190.0,-460.0,214.23355212
2025-11-15 20:00:00+00:00,3089.94287043,855.87280203,15.50923476,5104.0,4013.0,2249.57930316,-191.0,-487.0,305.91729696000016
2025-11-15 21:00:00+00:00,3417.254311245,997.225832805,0.0,5169.0,3569.0,2420.02847844,65.0,-444.0,170.44917527999996
2025-11-15 22:00:00+00:00,3734.7754115400003,1095.6499621950002,31.858522830000002,5233.0,3098.0,2670.983972175,64.0,-471.0,250.9554937349999
2025-11-15 23:00:00+00:00,3835.2733658399998,1127.14470384,100.14959526,5429.0,2635.0,2808.27825726,196.0,-463.0,137.29428508499996
2025-11-16 00:00:00+00:00,3872.3010287999996,986.9211183900001,290.242047345,5871.0,2289.0,3175.621957755,442.0,-346.0,367.3437004950001
2025-11-16 01:00:00+00:00,4108.45761363,1102.1998378950002,364.112307525,5830.0,1983.0,3370.37008326,-41.0,-306.0,194.74812550499973
2025-11-16 02:00:00+00:00,4206.253971,1140.99197568,511.19330439000004,5721.0,1497.0,3576.45529971,-109.0,-486.0,206.0852164500002
2025-11-16 03:00:00+00:00,4272.115602,1104.277291545,481.49388186,5618.0,1202.0,3649.332192315,-103.0,-295.0,72.8768926050002
2025-11-16 04:00:00+00:00,4396.178593860001,1135.627790775,488.49009257999995,5475.0,845.0,3749.0408956650003,-143.0,-357.0,99.70870335000018
2025-11-16 05:00:00+00:00,4599.2982225450005,1179.640778235,602.1231784949999,5347.0,518.0,4021.780622805,-128.0,-327.0,272.73972713999956
2025-11-16 06:00:00+00:00,4494.3396396,1229.06512422,791.6785770600001,5125.0,303.0,4056.9530924400005,-222.0,-215.0,35.17246963500065
2025-11-16 07:00:00+00:00,4210.427022,1077.80654043,748.619041035,4939.0,225.0,3881.239522605,-186.0,-78.0,-175.71356983500073
2025-11-16 08:00:00+00:00,3701.53071003,948.1053937949999,985.60570014,4840.0,167.0,3739.031016375,-99.0,-58.0,-142.20850622999978
2025-11-16 09:00:00+00:00,3565.8557501699997,778.957121805,968.2204068,4730.0,162.0,3755.1190351650002,-110.0,-5.0,16.088018790000206
2025-11-16 10:00:00+00:00,3476.627755125,664.20638397,951.9917743350001,4712.0,174.0,3764.4131454900003,-18.0,12.0,9.29411032500002
2025-11-16 11:00:00+00:00,3545.50577625,701.88540576,839.6804569650001,4745.0,327.0,3683.300827455,33.0,153.0,-81.11231803500004
2025-11-16 12:00:00+00:00,3797.2042545,838.45303566,605.946056085,4793.0,592.0,3564.6972749250003,48.0,265.0,-118.60355252999989
2025-11-16 13:00:00+00:00,4014.112188,916.889157945,596.69367627,4886.0,650.0,3693.9167063249997,93.0,58.0,129.2194313999994
